gender,job,industry,age,total_spending,average_spending,number_of_transaction
0,3,0,24,135000,135000.0,1
1,2,5,25,180000,180000.0,1
0,4,4,30,90000,90000.0,1
1,2,6,25,360000,90000.0,2
1,1,1,28,90000,90000.0,1
1,3,0,24,90000,90000.0,1
1,2,5,25,180000,90000.0,2
1,2,2,25,270000,90000.0,3
0,2,9,26,180000,90000.0,2
0,3,0,24,180000,90000.0,2
0,3,0,24,180000,90000.0,2
0,3,0,24,90000,90000.0,1
0,3,0,24,135000,135000.0,1
0,3,0,24,135000,67500.0,1
1,3,0,24,90000,90000.0,1
0,2,9,26,45000,45000.0,1
1,3,0,24,180000,90000.0,2
0,3,0,24,180000,180000.0,1
0,3,0,24,45000,45000.0,1
0,3,0,24,270000,90000.0,2
1,3,0,24,405000,81000.0,3
0,2,5,25,375000,187500.0,2
1,3,0,24,90000,90000.0,1
1,3,0,24,90000,45000.0,2
1,2,7,25,90000,90000.0,1
1,3,0,21,900000,225000.0,3
0,2,9,25,90000,90000.0,1
0,2,4,26,180000,90000.0,1
1,2,6,25,180000,90000.0,2
0,2,5,25,90000,90000.0,1
0,2,5,26,270000,90000.0,3
1,2,5,25,180000,180000.0,1
1,3,0,22,855000,122142.85714285714,3
0,2,6,25,180000,90000.0,2
0,3,0,24,45000,45000.0,1
1,2,3,26,180000,90000.0,2
0,3,0,24,135000,135000.0,1
1,0,9,33,135000,135000.0,1
1,4,6,29,90000,90000.0,1
1,4,4,29,90000,90000.0,1
0,2,3,25,90000,90000.0,1
0,3,0,24,315000,157500.0,2
0,3,0,24,90000,90000.0,1
0,0,7,49,135000,135000.0,1
0,3,0,24,315000,105000.0,3
0,2,2,27,90000,90000.0,1
0,0,5,32,315000,105000.0,3
0,2,6,27,90000,90000.0,1
0,4,8,36,270000,90000.0,3
1,2,8,27,90000,90000.0,1
1,2,7,27,315000,105000.0,3
0,1,5,30,90000,90000.0,1
1,1,4,30,180000,90000.0,2
0,1,6,34,180000,180000.0,1
1,4,2,30,135000,67500.0,2
0,3,0,24,90000,90000.0,1
0,2,5,27,90000,90000.0,1
0,2,9,26,90000,90000.0,1
1,2,5,27,180000,90000.0,2
1,0,3,28,90000,90000.0,1
1,1,5,28,225000,75000.0,3
0,1,1,30,180000,90000.0,2
1,0,4,28,180000,180000.0,1
1,2,8,27,180000,90000.0,2
1,3,0,23,405000,405000.0,1
1,2,7,25,90000,90000.0,1
1,2,1,26,405000,101250.0,2
0,0,4,28,135000,135000.0,1
1,1,2,28,90000,90000.0,1
1,0,4,31,270000,135000.0,2
0,0,3,32,180000,90000.0,2
0,0,7,31,90000,90000.0,1
0,1,5,28,180000,90000.0,2
1,4,8,30,180000,90000.0,2
0,1,1,32,90000,90000.0,1
1,1,3,32,90000,90000.0,1
0,4,3,28,45000,45000.0,1
0,4,3,31,90000,90000.0,1
0,3,0,21,135000,135000.0,1
1,1,8,29,180000,180000.0,1
0,2,3,27,225000,225000.0,1
0,0,9,29,90000,90000.0,1
1,2,9,26,90000,90000.0,1
0,2,4,27,360000,90000.0,4
1,0,6,28,180000,90000.0,2
1,2,1,25,90000,90000.0,1
1,0,1,30,90000,90000.0,1
1,2,3,25,270000,90000.0,3
0,0,1,31,90000,90000.0,1
0,3,0,24,90000,90000.0,1
0,0,7,31,180000,90000.0,2
1,3,0,22,360000,180000.0,2
1,3,0,22,180000,90000.0,2
1,3,0,22,90000,90000.0,1
0,4,8,29,45000,45000.0,1
0,2,3,27,90000,90000.0,1
0,1,3,30,180000,90000.0,2
0,0,5,36,225000,225000.0,1
0,1,9,29,180000,90000.0,2
0,4,8,28,135000,135000.0,1
0,0,3,29,135000,135000.0,1
1,0,5,34,90000,90000.0,1
1,3,0,23,90000,90000.0,1
1,2,9,25,90000,90000.0,1
0,1,4,36,180000,90000.0,2
1,4,2,30,450000,112500.0,4
0,3,0,23,180000,90000.0,2
1,1,5,34,90000,90000.0,1
0,3,0,21,90000,90000.0,1
1,0,5,33,90000,90000.0,1
0,3,0,24,495000,495000.0,1
1,3,0,23,180000,180000.0,1
0,2,7,27,45000,45000.0,1
0,4,3,38,90000,90000.0,1
0,0,8,30,615000,205000.0,3
1,3,0,24,90000,90000.0,1
1,0,5,31,180000,180000.0,1
1,1,1,28,180000,180000.0,1
1,0,7,30,45000,45000.0,1
1,4,6,29,90000,90000.0,1
1,3,0,23,90000,90000.0,1
1,4,9,29,180000,90000.0,2
1,3,0,24,360000,90000.0,4
1,3,0,21,270000,135000.0,2
0,4,6,55,405000,135000.0,3
0,0,8,34,135000,135000.0,1
0,2,9,27,135000,135000.0,1
0,0,5,42,270000,270000.0,1
0,1,8,39,90000,90000.0,1
1,3,0,23,180000,90000.0,2
0,4,7,35,90000,90000.0,1
1,2,6,27,90000,90000.0,1
1,4,5,29,180000,180000.0,1
0,1,5,34,135000,135000.0,1
0,2,9,27,90000,90000.0,1
0,1,3,29,90000,90000.0,1
1,0,9,37,180000,180000.0,1
0,2,8,27,90000,90000.0,1
1,2,4,27,180000,90000.0,2
1,1,2,29,45000,45000.0,1
0,2,1,27,90000,90000.0,1
0,1,8,28,90000,90000.0,1
0,0,5,32,90000,90000.0,1
0,0,4,40,315000,157500.0,2
1,2,4,26,90000,90000.0,1
1,2,8,27,90000,90000.0,1
1,1,5,29,90000,90000.0,1
1,3,0,21,225000,112500.0,2
1,2,3,25,90000,90000.0,1
1,4,2,28,90000,90000.0,1
0,2,3,25,135000,135000.0,1
1,3,0,24,90000,90000.0,1
1,2,8,25,135000,135000.0,1
1,2,8,26,45000,45000.0,1
1,2,4,25,405000,101250.0,4
1,2,2,25,225000,112500.0,2
0,2,2,26,180000,90000.0,2
0,2,9,27,360000,120000.0,3
0,3,0,20,315000,157500.0,2
0,3,0,21,180000,180000.0,1
0,3,0,24,90000,90000.0,1
0,1,5,29,270000,135000.0,2
1,3,0,23,495000,99000.0,5
0,4,9,29,180000,90000.0,2
1,3,0,24,180000,90000.0,2
0,0,5,28,90000,90000.0,1
1,3,0,22,135000,135000.0,1
1,4,8,28,180000,180000.0,1
0,1,7,33,90000,90000.0,1
0,4,6,30,270000,90000.0,3
1,0,7,31,180000,90000.0,2
1,3,0,23,90000,90000.0,1
0,2,6,27,90000,90000.0,1
0,4,3,36,90000,90000.0,1
0,0,2,33,270000,90000.0,3
0,0,9,31,90000,90000.0,1
1,1,7,28,180000,90000.0,2
0,4,4,38,90000,90000.0,1
0,3,0,24,180000,90000.0,2
0,4,6,29,180000,180000.0,1
0,0,9,28,90000,90000.0,1
1,2,5,27,180000,90000.0,2
1,2,2,27,90000,90000.0,1
0,1,1,34,90000,90000.0,1
0,3,0,22,180000,180000.0,1
1,4,7,30,90000,90000.0,1
1,4,7,29,90000,90000.0,1
1,4,8,48,225000,225000.0,1
0,3,0,21,180000,90000.0,1
0,1,9,30,270000,90000.0,3
0,4,7,32,180000,90000.0,2
0,4,7,29,90000,45000.0,1
1,1,5,41,90000,90000.0,1
1,0,6,28,315000,157500.0,2
1,1,6,31,180000,90000.0,1
0,0,3,28,90000,45000.0,2
1,0,8,36,495000,247500.0,2
0,3,0,23,45000,45000.0,1
1,3,0,24,90000,90000.0,1
0,1,1,31,90000,90000.0,1
1,1,4,30,450000,90000.0,5
1,1,4,29,180000,90000.0,1
0,4,1,28,135000,135000.0,1
0,4,6,42,45000,45000.0,1
1,2,6,27,135000,135000.0,1
0,0,9,28,90000,90000.0,1
1,2,3,27,90000,90000.0,1
0,4,6,28,135000,135000.0,1
1,1,6,29,90000,90000.0,1
0,2,8,27,315000,157500.0,2
1,2,5,27,90000,90000.0,1
1,0,5,28,90000,90000.0,1
0,2,6,27,90000,90000.0,1
1,2,9,27,90000,90000.0,1
0,2,8,27,90000,90000.0,1
0,2,6,27,90000,90000.0,1
1,2,4,27,270000,90000.0,2
1,4,7,31,90000,90000.0,1
1,2,2,25,135000,135000.0,1
1,1,9,28,270000,90000.0,3
1,4,6,28,360000,72000.0,3
1,2,5,27,180000,90000.0,1
1,1,6,28,90000,90000.0,1
1,4,5,29,90000,90000.0,1
0,0,6,28,90000,90000.0,1
1,2,1,25,180000,180000.0,1
1,3,0,21,270000,270000.0,1
1,1,4,34,135000,67500.0,2
1,4,4,29,135000,135000.0,1
0,1,9,29,225000,112500.0,2
1,0,5,28,90000,90000.0,1
0,4,1,28,180000,180000.0,1
0,2,4,27,135000,135000.0,1
0,4,3,29,225000,112500.0,2
0,4,6,35,270000,135000.0,2
1,4,2,28,90000,90000.0,1
